player,g,min,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,stl,blk,to,pts,player_id,snake_name
A'ja Wilson,33,30.6,7.4,16.1,46.2,0,0,0,5.8,7.5,77.4,2,6,8,2.2,0.8,1.7,1.4,20.7,1628932,aja-wilson
Adaora Elonu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628327,adaora-elonu
Aerial Powers,24,14.4,2,5.1,39.3,0.5,1.8,27.3,1.7,1.9,87,0.7,2.1,2.8,0.9,0.5,0.3,1.3,6.2,1627672,aerial-powers
Alaina Coates,32,11.4,1.3,2.3,56.8,0,0,0,0.8,1.3,62.5,1.2,2,3.2,0.4,0.2,0.2,0.5,3.4,1628268,alaina-coates
Alana Beard,30,25.5,1.7,4.3,39.2,0.1,0.2,40,0.6,0.7,81,1.2,2.1,3.3,1.7,1.5,0.2,0.7,4,100949,alana-beard
Alex Bentley,35,21.3,3.7,9.5,38.7,1.1,3.6,30.7,1,1.3,72.3,0.3,1.2,1.5,3.3,1.1,0.1,1.7,9.4,203410,alex-bentley
Alex Montgomery,19,6.4,0.3,1,26.3,0.1,0.2,33.3,0.2,0.2,100,0.3,0.6,0.9,0.5,0.1,0.1,0.3,0.8,202652,alex-montgomery
Alexis Jones,26,8.8,1.2,3.5,35.2,0.6,1.9,32,0.2,0.3,75,0.2,0.7,0.9,0.7,0.1,0.1,0.7,3.3,1628283,alexis-jones
Alexis Prince,2,3,1.5,2.5,60,0.5,0.5,100,0,0,0,0.5,0.5,1,0,0,0,0,3.5,1628297,alexis-prince
Allie Quigley,32,29.7,5.7,12.3,46.6,2.3,5.4,42,1.7,2,85.7,0.3,2.1,2.4,2.5,0.7,0.3,2.1,15.4,201516,allie-quigley
Allisha Gray,34,26.7,2.9,7.3,40.3,0.9,3.3,27,2.4,2.8,86.3,1.2,2.2,3.4,2.4,1.3,0.2,1.4,9.2,1628277,allisha-gray
Alysha Clark,31,26.2,2.7,5.6,48,0.9,2.4,39.2,1.1,1.3,84.6,1,2.5,3.5,1.9,1,0.1,1.2,7.4,202252,alysha-clark
Alyssa Thomas,24,30.6,4.1,8.8,46.4,0,0,0,2.2,4,54.7,2,6.2,8.1,4.2,1.2,0.4,2,10.3,203826,alyssa-thomas
Amanda Zahui B,29,15.9,3.1,6.2,50,0.7,2.1,34.4,0.8,1.3,60.5,1.3,1.7,3,0.7,0.4,0.4,1.5,7.7,204320,amanda-zahui-b
Angel McCoughtry,29,27.6,5.9,14,42,0.7,2.6,27.6,4,4.8,83.6,1.6,4.4,6,3,1.3,0.6,2.6,16.5,201881,angel-mccoughtry
Angel Robinson,24,9.9,0.8,1.8,45.2,0,0,0,0.7,0.8,85,1,2,3,0.5,0.2,0.3,0.9,2.3,202657,angel-robinson
Ariel Atkins,29,22.5,4.1,9.6,43.2,1.6,4.3,35.7,1.4,1.8,82.4,1,1.4,2.4,2.1,1.3,0.3,1.3,11.3,1628878,ariel-atkins
Asia Taylor,14,8.3,0.6,2.1,31,0.1,0.4,20,0.5,0.6,77.8,0.6,1.1,1.8,0.4,0.2,0,0.8,1.9,203859,asia-taylor
Astou Ndour,22,11.6,1.7,3.5,47.4,0.3,1,31.8,0.9,1.2,76.9,1,1.4,2.5,0.3,0.2,0.5,0.5,4.6,203838,astou-ndour
Azurá Stevens,34,20.6,3.3,7.6,43,0.8,2.6,31.8,1.5,1.9,78.8,1.7,2.8,4.6,1.3,0.9,1.1,1.5,8.9,1628922,azura-stevens
Betnijah Laney,29,9.3,1.1,2.4,47.1,0,0.3,11.1,0.3,0.4,90.9,0.7,1,1.7,0.7,0.4,0,0.6,2.7,204335,betnijah-laney
Blake Dietrick,26,7.2,0.5,1.3,34.3,0.3,0.9,39.1,0.2,0.2,66.7,0.1,0.5,0.5,0.4,0.3,0,0.5,1.4,204355,blake-dietrick
Breanna Stewart,34,31.6,7.9,15,52.9,1.8,4.3,41.5,4.1,5.1,82,1.1,7.2,8.4,2.5,1.4,1.4,1.8,21.8,1627668,breanna-stewart
Bria Hartley,34,23.7,3,7.8,38.9,1.1,3.4,30.8,1.4,1.9,70.8,0.7,2.2,2.9,3.6,0.8,0.1,2,8.5,203829,bria-hartley
Briann January,33,27.1,2.3,5.5,42.3,1.4,3,47,0.9,1.1,80.6,0.4,1.6,2.1,3.3,0.6,0.1,1.4,7,201896,briann-january
Brionna Jones,27,9,1.1,2.4,46.9,0,0,0,0.9,1.2,72.7,0.9,1.1,2,0.2,0.2,0.2,0.6,3.1,1628280,brionna-jones
Brittany Boyd,30,20.4,2.3,5.6,41.4,0.3,0.9,37,1.4,1.8,77.4,0.3,3.6,3.9,5.3,1.2,0.1,2.7,6.4,204327,brittany-boyd
Brittney Griner,34,32.6,7.8,14.4,54.4,0,0.1,25,4.8,6,80,1.9,5.9,7.7,2.1,0.5,2.6,2.4,20.5,203398,brittney-griner
Brittney Sykes,29,20.7,3.3,8.1,41.1,0.8,2.8,26.8,2.2,3.4,66.3,0.6,2.9,3.5,2.3,0.3,0.6,1.1,9.7,1628279,brittney-sykes
Camille Little,33,16.2,1,3,33,0.2,0.9,25.8,0.7,0.9,77.4,0.5,1.3,1.8,1.2,0.6,0.3,0.9,3,201067,camille-little
Candace Parker,31,30.6,6.4,13.5,47.1,1.3,3.8,34.5,3.8,4.7,80.8,1.6,6.5,8.2,4.7,1.2,1.1,3,17.9,201496,candace-parker
Candice Dupree,32,31.4,6.2,12.7,48.8,0,0,0,1.8,2.3,81.9,1.2,5.3,6.4,1.7,0.9,0.3,1.6,14.2,200676,candice-dupree
Cappie Pondexter,30,18.2,2.8,7.4,38.1,0.4,1,36.7,1.3,1.5,86.7,0.2,1.6,1.8,1.8,0.5,0,0.9,7.3,200665,cappie-pondexter
