player,g,min,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,stl,blk,to,pts,player_id,snake_name,team,dob,feet,inches,weight,position,college,height
A'ja Wilson,33,30.6,7.4,16.1,46.2,0,0,0,5.8,7.5,77.4,2,6,8,2.2,0.8,1.7,1.4,20.7,1628932,aja-wilson,LVA,1996-08-08,6,4,195,F,South Carolina,76
Adaora Elonu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628327,adaora-elonu,ATL,1990-04-28,6,1,165,F,Texas A&M,73
Aerial Powers,24,14.4,2,5.1,39.3,0.5,1.8,27.3,1.7,1.9,87,0.7,2.1,2.8,0.9,0.5,0.3,1.3,6.2,1627672,aerial-powers,WAS,1994-01-17,6,0,157,F-G,Michigan State,72
Alaina Coates,32,11.4,1.3,2.3,56.8,0,0,0,0.8,1.3,62.5,1.2,2,3.2,0.4,0.2,0.2,0.5,3.4,1628268,alaina-coates,CHI,1995-04-07,6,4,NA,C,South Carolina,76
Alana Beard,30,25.5,1.7,4.3,39.2,0.1,0.2,40,0.6,0.7,81,1.2,2.1,3.3,1.7,1.5,0.2,0.7,4,100949,alana-beard,LAS,1982-05-14,5,11,160,G-F,Duke,71
Alex Bentley,35,21.3,3.7,9.5,38.7,1.1,3.6,30.7,1,1.3,72.3,0.3,1.2,1.5,3.3,1.1,0.1,1.7,9.4,203410,alex-bentley,ATL,1990-10-27,5,7,152,G,Penn State,67
Alex Montgomery,19,6.4,0.3,1,26.3,0.1,0.2,33.3,0.2,0.2,100,0.3,0.6,0.9,0.5,0.1,0.1,0.3,0.8,202652,alex-montgomery,CHI,1988-11-12,6,1,185,G-F,Georgia Tech,73
Alexis Jones,26,8.8,1.2,3.5,35.2,0.6,1.9,32,0.2,0.3,75,0.2,0.7,0.9,0.7,0.1,0.1,0.7,3.3,1628283,alexis-jones,MIN,1994-05-08,5,9,166,G,Baylor,69
Alexis Prince,2,3,1.5,2.5,60,0.5,0.5,100,0,0,0,0.5,0.5,1,0,0,0,0,3.5,1628297,alexis-prince,ATL,1994-02-05,6,2,178,G,Baylor,74
Allie Quigley,32,29.7,5.7,12.3,46.6,2.3,5.4,42,1.7,2,85.7,0.3,2.1,2.4,2.5,0.7,0.3,2.1,15.4,201516,allie-quigley,CHI,1986-06-20,5,10,140,G,DePaul,70
Allisha Gray,34,26.7,2.9,7.3,40.3,0.9,3.3,27,2.4,2.8,86.3,1.2,2.2,3.4,2.4,1.3,0.2,1.4,9.2,1628277,allisha-gray,DAL,1995-01-12,6,0,167,G,South Carolina,72
Alysha Clark,31,26.2,2.7,5.6,48,0.9,2.4,39.2,1.1,1.3,84.6,1,2.5,3.5,1.9,1,0.1,1.2,7.4,202252,alysha-clark,SEA,1987-07-07,5,11,167,F,Middle Tennessee State,71
Alyssa Thomas,24,30.6,4.1,8.8,46.4,0,0,0,2.2,4,54.7,2,6.2,8.1,4.2,1.2,0.4,2,10.3,203826,alyssa-thomas,CON,1992-04-12,6,2,185,F,Maryland,74
Amanda Zahui B,29,15.9,3.1,6.2,50,0.7,2.1,34.4,0.8,1.3,60.5,1.3,1.7,3,0.7,0.4,0.4,1.5,7.7,204320,amanda-zahui-b,NYL,1993-09-08,6,5,250,C,Minnesota,77
